language,script,chars,tokens,chars_per_token,mean_surface_len,pct_len1,pct_len_le2,cost_multiplier,usd_per_10k_chars
English,Latin,426692,108186,3.9440593052705526,3.9643854103118703,22.535263342761542,30.60377498012682,1.0,0.007606376496395526
French,Latin,348202,135553,2.5687517059747846,2.6380087493452744,26.881736295028514,51.06932343806482,1.5353991964645213,0.011678824360572312
Spanish,Latin,2148396,849284,2.529655568690803,2.5974573876347606,21.84322323274664,47.70100461094287,1.5591289794886027,0.01185932202443125
German,Latin,672318,270129,2.488877536288218,2.5566340526193043,25.08579234365803,51.579800761858216,1.5846739133467036,0.012053626408931487
Portuguese,Latin,1009155,407018,2.47938666103219,2.6157835771390947,22.38082836631304,50.440521058036744,1.5907399064688872,0.012099766636443361
Italian,Latin,581458,250464,2.321523252842724,2.4203398492398107,25.84922384055194,59.24324453813722,1.6989101015641432,0.012922549866026437
Finnish,Latin,616292,297264,2.073214381828947,2.1480603100274505,25.348848161903227,70.69810000538243,1.9023885517286374,0.014470283566880635
Hindi,Indic,154676,229445,0.6741310553727473,1.6743533308636056,49.04094663209048,84.23282268081675,5.8505824258307815,0.04450173265406398
Telugu,Indic,155197,398026,0.38991673910749547,1.0155944586534549,99.17392331154247,99.62515011582158,10.115132051776884,0.07693950269657275
Tamil,Indic,152370,392876,0.38783229314083834,1.0175195226992741,99.21807389608935,99.58663802319307,10.169496906329814,0.07735302224847411
